"Country","Year","Score","GDP","SocialSupport","Health","Freedom","Generosity","Corruption","Individualism","UncertaintyAvoidance","Indulgence","vis_residual"
"Pakistan",2016,5.132,0.68816,0.26135,0.40306,0.14622,0.31185,0.1388,14,70,0,0.203751926605074
"Pakistan",2017,5.26900005340576,0.72688353061676,0.672690689563751,0.402047783136368,0.23521526157856,0.315446019172668,0.124348066747189,14,70,0,0.24779059123583
"Pakistan",2018,5.472,0.652,0.81,0.424,0.334,0.216,0.113,14,70,0,0.630559192486179
"Pakistan",2019,5.653,0.677,0.886,0.535,0.313,0.22,0.098,14,70,0,0.75154310711484
"Peru",2015,5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989,16,87,46,0.386743503353679
"Peru",2016,5.743,0.99602,0.81255,0.62994,0.37502,0.14527,0.05292,16,87,46,0.0756898449082648
"Peru",2017,5.71500015258789,1.03522527217865,1.21877038478851,0.630166113376617,0.450002878904343,0.126819714903831,0.0470490865409374,16,87,46,-0.0464278809870624
"Peru",2018,5.663,0.934,1.249,0.674,0.53,0.092,0.034,16,87,46,0.144577749497481
"Peru",2019,5.697,0.96,1.274,0.854,0.455,0.083,0.027,16,87,46,0.116161020711289
"Philippines",2015,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279,32,44,42,0.103556885606189
"Philippines",2016,5.279,0.81217,0.87877,0.47036,0.54854,0.21674,0.11757,32,44,42,0.0530481367290871
"Philippines",2017,5.42999982833862,0.85769921541214,1.25391757488251,0.468009054660797,0.585214674472809,0.193513423204422,0.0993318930268288,32,44,42,0.0947485539051058
"Philippines",2018,5.524,0.775,1.312,0.513,0.643,0.12,0.105,32,44,42,0.387280052459193
"Philippines",2019,5.631,0.807,1.293,0.657,0.558,0.117,0.107,32,44,42,0.417459463183881
"Poland",2015,5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212,60,93,29,-0.187265496617714
"Poland",2016,5.835,1.24585,1.04685,0.69058,0.4519,0.14443,0.055,60,93,29,-0.432062899424595
"Poland",2017,5.97300004959106,1.29178786277771,1.44571197032928,0.699475347995758,0.520342111587524,0.158465966582298,0.0593078061938286,60,93,29,-0.40434327760329
"Poland",2018,6.123,1.176,1.448,0.781,0.546,0.108,0.064,60,93,29,0.0236220431029253
"Poland",2019,6.182,1.206,1.438,0.884,0.483,0.117,0.05,60,93,29,0.010602740657319
"Portugal",2015,5.102,1.15991,1.13935,0.87519,0.51469,0.13719,0.01078,27,104,33,-0.958751604352082
"Portugal",2016,5.123,1.27607,0.94367,0.79363,0.44727,0.11691,0.01521,27,104,33,-1.21661034342147
"Portugal",2017,5.19500017166138,1.3151752948761,1.36704301834106,0.795843541622162,0.498465299606323,0.0951027125120163,0.0158694516867399,27,104,33,-1.2384880403903
"Portugal",2018,5.41,1.188,1.429,0.884,0.562,0.055,0.017,27,104,33,-0.718185677875318
"Portugal",2019,5.693,1.221,1.431,0.999,0.508,0.047,0.025,27,104,33,-0.514406910565485
"Romania",2015,5.124,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649,30,90,20,-0.657172672258239
"Romania",2016,5.528,1.1697,0.72803,0.67602,0.36712,0.12889,0.00679,30,90,20,-0.556253903383499
"Romania",2017,5.82499980926514,1.21768391132355,1.15009129047394,0.685158312320709,0.457003742456436,0.133519917726517,0.00438790069893003,30,90,20,-0.374446354856154
"Romania",2018,5.945,1.116,1.219,0.726,0.528,0.088,0.001,30,90,20,-0.0103393520058628
"Romania",2019,6.07,1.162,1.232,0.825,0.462,0.083,0.005,30,90,20,0.0042310509108745
"Russia",2015,5.716,1.13764,1.23617,0.66926,0.36679,0.00199,0.03005,39,95,20,-0.291289275503293
"Russia",2016,5.856,1.23228,1.05261,0.58991,0.32682,0.02736,0.03586,39,95,20,-0.378486168285033
"Russia",2017,5.96299982070923,1.28177809715271,1.46928238868713,0.547349333763123,0.373783111572266,0.0522638224065304,0.0329628810286522,39,95,20,-0.390313628553236
"Russia",2018,5.81,1.151,1.479,0.599,0.399,0.065,0.025,39,95,20,-0.229361871525738
"Russia",2019,5.648,1.183,1.452,0.726,0.334,0.082,0.031,39,95,20,-0.46818246080105
"Serbia",2015,5.123,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617,25,92,28,-0.363085583704442
"Serbia",2016,5.177,1.03437,0.81329,0.6458,0.15718,0.20737,0.04339,25,92,28,-0.58237483005137
"Serbia",2017,5.39499998092651,1.06931757926941,1.25818979740143,0.65078467130661,0.208715528249741,0.220125883817673,0.0409037806093693,25,92,28,-0.44827152516304
"Serbia",2018,5.398,0.975,1.369,0.685,0.288,0.134,0.043,25,92,28,-0.218848630511514
"Serbia",2019,5.603,1.004,1.383,0.854,0.282,0.137,0.039,25,92,28,-0.0834672895422672
"Singapore",2015,6.798,1.52186,1.02,1.02525,0.54252,0.31105,0.4921,20,8,46,-0.13166448835832
