"Country","Score","GDP","SocialSupport","Health","Freedom","Generosity","Corruption","Year","Region","expected_by_gdp","gdp_residual","Individualism","UncertaintyAvoidance","Indulgence"
"Germany",6.75,1.32792,1.29937,0.89186,0.61477,0.28214,0.21843,2015,"WesternEurope",6.27746784964952,0.472532150350481,67,65,40
"Germany",6.965,1.34,1.474,0.861,0.586,0.273,0.28,2018,"WesternEurope",6.30367882908389,0.661321170916111,67,65,40
"Germany",6.985,1.373,1.454,0.987,0.495,0.261,0.265,2019,"WesternEurope",6.37528167025394,0.609718329746062,67,65,40
"Germany",6.994,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551,2016,"WesternEurope",6.53773332838732,0.45626667161268,67,65,40
"Germany",6.95100021362305,1.48792338371277,1.47252035140991,0.798950731754303,0.562511384487152,0.336269170045853,0.276731938123703,2017,"WesternEurope",6.62464048209364,0.326359731529411,67,65,40
"Ghana",4.996,0.611,0.868,0.486,0.381,0.245,0.04,2019,"SubSaharanAfrica",4.72190697414553,0.274093025854475,NA,NA,72
"Ghana",4.657,0.592,0.896,0.337,0.499,0.212,0.029,2018,"SubSaharanAfrica",4.6806810958961,-0.0236810958961033,NA,NA,72
"Ghana",4.276,0.63107,0.49353,0.29681,0.40973,0.21203,0.0326,2016,"SubSaharanAfrica",4.76545452027531,-0.48945452027531,NA,NA,72
"Ghana",4.11999988555908,0.667224824428558,0.873664736747742,0.295637726783752,0.423026293516159,0.256923943758011,0.0253363698720932,2017,"SubSaharanAfrica",4.84390264606589,-0.723902760506808,NA,NA,72
"Ghana",4.633,0.54558,0.67954,0.40132,0.42342,0.23087,0.04355,2015,"SubSaharanAfrica",4.57995976598357,0.0530402340164331,NA,NA,72
"Greece",4.857,1.15406,0.92933,0.88213,0.07699,0,0.01397,2015,"Other",5.90022936583665,-1.04322936583665,35,112,50
"Greece",5.22700023651123,1.28948748111725,1.23941457271576,0.810198903083801,0.0957312509417534,0,0.04328977689147,2017,"Other",6.19407762100326,-0.967077384492034,35,112,50
"Greece",5.358,1.154,1.202,0.879,0.131,0,0.044,2018,"Other",5.9000991788527,-0.542099178852702,35,112,50
"Greece",5.287,1.181,1.156,0.999,0.067,0,0.034,2019,"Other",5.9586833216282,-0.671683321628197,35,112,50
"Greece",5.033,1.24886,0.75473,0.80029,0.05822,0,0.04127,2016,"Other",6.10592480047061,-1.07292480047061,35,112,50
"Guatemala",6.382,0.781,1.268,0.608,0.604,0.179,0.071,2018,"LatinAmerica",5.09077009532457,1.29122990467543,6,101,NA
"Guatemala",6.324,0.83454,0.87119,0.54039,0.50379,0.28808,0.08701,2016,"LatinAmerica",5.20694028066531,1.11705971933469,6,101,NA
"Guatemala",6.4539999961853,0.872001945972443,1.25558519363403,0.540239989757538,0.531310617923737,0.283488392829895,0.0772232785820961,2017,"LatinAmerica",5.2882245766467,1.1657754195386,6,101,NA
"Guatemala",6.436,0.8,1.269,0.746,0.535,0.175,0.078,2019,"LatinAmerica",5.13199597357399,1.30400402642601,6,101,NA
