"Country","Score","GDP","SocialSupport","Health","Freedom","Generosity","Corruption","Year","Region","expected_by_gdp","gdp_residual"
"Lesotho",4.898,0.37545,1.04103,0.07612,0.31767,0.16388,0.12504,2015,"Other",4.21081457300598,0.687185426994024
"Dominican Republic",4.885,0.89537,1.17202,0.66825,0.57672,0.21684,0.14234,2015,"LatinAmerica",5.33892818455543,-0.453928184555433
"Laos",4.876,0.59066,0.73803,0.54909,0.59591,0.42192,0.24249,2015,"Other",4.67777358658799,0.198226413412014
"Mongolia",4.874,0.82819,1.3006,0.60268,0.43626,0.3323,0.02666,2015,"Other",5.19316215819774,-0.319162158197739
"Swaziland",4.867,0.71206,1.07284,0.07566,0.30658,0.18259,0.0306,2015,"Other",4.94118525077114,-0.0741852507711371
"Greece",4.857,1.15406,0.92933,0.88213,0.07699,0,0.01397,2015,"Other",5.90022936583665,-1.04322936583665
"Lebanon",4.839,1.02564,0.80001,0.83947,0.33916,0.21854,0.04582,2015,"MiddleEast",5.62158582453187,-0.782585824531867
"Hungary",4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758,2015,"Other",5.82836615069871,-1.02836615069871
"Honduras",4.788,0.59532,0.95348,0.6951,0.40148,0.23027,0.06825,2015,"LatinAmerica",4.68788477567442,0.100115224325577
"Tajikistan",4.786,0.39047,0.85563,0.57379,0.47216,0.22974,0.15072,2015,"Other",4.24340471465368,0.542595285346322
"Tunisia",4.739,0.88113,0.60429,0.73793,0.26268,0.06431,0.06358,2015,"Other",5.30803047369902,-0.569030473699024
"Palestinian Territories",4.715,0.59867,0.92558,0.66015,0.24499,0.11251,0.12905,2015,"Other",4.69515354894472,0.019846451055284
"Bangladesh",4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569,2015,"Other",4.25872338309794,0.435276616902064
"Iran",4.686,1.0088,0.54447,0.69805,0.30033,0.38086,0.05863,2015,"MiddleEast",5.58504667770448,-0.899046677704485
"Ukraine",4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961,2015,"Other",5.12997807532283,-0.448978075322835
"Iraq",4.677,0.98549,0.81889,0.60237,0,0.17922,0.13788,2015,"MiddleEast",5.53446903444164,-0.857469034441641
"South Africa",4.642,0.92049,1.18468,0.27688,0.33207,0.11973,0.08884,2015,"SubSaharanAfrica",5.3934331351673,-0.751433135167301
"Ghana",4.633,0.54558,0.67954,0.40132,0.42342,0.23087,0.04355,2015,"SubSaharanAfrica",4.57995976598357,0.0530402340164331
"Zimbabwe",4.61,0.271,1.03276,0.33475,0.25861,0.18987,0.08079,2015,"SubSaharanAfrica",3.98418073178744,0.625819268212559
